id;name;description
1;Tiendas Online Ropa y Moda;
2;Tiendas Online Electrónicos;
3;Tiendas Online Hogar y Decoración;
4;Tiendas Online Deportes;
5;Tiendas Online Libros y Educación;
6;Tiendas Online Alimentos y Bebidas;
7;Tiendas Online Infantil;
8;Tiendas Online Juegos y Pasatiempos;
9;Tiendas Online Librería;
10;Tiendas Físicas Ropa y Moda;
11;Tiendas Físicas Electrónicos;
12;Tiendas Físicas Hogar y Decoración;
13;Tiendas Físicas Deportes;
14;Tiendas Físicas Libros y Educación;
15;Tiendas Físicas Alimentos y Bebidas;
16;Tiendas Físicas Infantil;
17;Tiendas Físicas Juegos y Pasatiempos;
18;Tiendas Físicas Librería;
19;Servicios Restaurante;
20;Servicios Cafetería;
21;Servicios Bar;
22;Servicios Atención Médica;
23;Servicios Atención Psicológica;
24;Servicios Gimnasio;
25;Servicios Clases Particulares;
26;Servicios SPA & Bienestar;
